ID,samplegroup,qzip,q1,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2ba_1,q2ba_2,q2ba_3,q2ba_4,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bc_1,q2bc_2,q2bc_3,q2bc_4,q2bd_1,q2bd_2,q2bd_3,q2bd_4,q2be_1,q2be_2,q2be_3,q2be_4,q2bf_1,q2bf_2,q2bf_3,q2bf_4,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q7,q12a_1,q12a_2,q12a_3,q12b_4,q12b_5,q16a_1,q16a_2,q16a_3,q16a_4,q16a_5,q16a_6,q16a_7,q16a_8,q16b_9,q16b_10,q16b_11,q16b_12,q16b_13,q16b_14,q16b_15,q16c_16,q16c_17,q16c_18,q16c_19,q16c_20,q16c_21,q16c_22,q20,q29,POV,POV135,POV400,ethnicity,q6R,q20R,Age_range2,Age_range3,Age2_range2,Age2_range3,INCOME
1366,1,98199,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,3,,,,,,,,,99,1,0,0,0,0,1,5,5,1,2,1,5,5,5,2,2,5,5,4,2,3,5,1,4,4,5,5,2,15,0,0,0,1,4,4,6,4,6,5,0
1367,1,98106,1,2,3,0,0,0,0,,0,,,,1,,,,1,,,,0,,,,0,,,,0,,,,3,,,,,,,,,99,1,1,1,1,2,1,4,5,1,3,3,5,3,4,2,2,5,3,3,1,3,5,5,4,5,4,5,1,7,0,0,1,1,4,5,6,4,,,2
1376,4,98118,1,2,3,4,0,0,0,,0,,,,1,2,,,1,,,,1,2,,,0,,,,0,,,,3,4,,,,,,,,99,1,1,1,1,1,3,3,1,1,3,2,1,1,2,1,2,4,4,4,1,4,1,5,3,3,3,5,2,11,0,0,1,6,3,4,1,2,1,2,4
1377,1,98118,1,0,0,3,0,0,0,,7,,,,7,,,,1,,,,7,,,,7,,,,7,,,,4,,,,,,,,,99,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,10,0,0,1,2,4,0,3,3,1,1,3
1382,1,98102,1,2,3,4,5,6,0,,0,,,,1,2,,,1,,,,3,,,,1,,,,1,,,,1,4,5,,,,,,,99,1,1,1,1,1,2,5,5,1,2,2,5,2,1,1,4,1,5,4,3,4,2,5,3,4,3,5,1,10,0,0,0,1,4,5,1,2,1,2,3
1383,3,98115,1,0,2,3,4,0,0,,7,,,,1,,,,1,,,,1,,,,7,,,,7,,,,1,4,,,,,,,,99,1,1,1,1,1,4,4,2,1,4,2,5,1,2,2,4,2,2,3,1,2,2,4,3,5,2,2,1,3,0,0,1,1,4,5,6,4,,,1
1384,1,98119,1,1,0,3,4,0,0,,1,,,,7,,,,1,,,,1,,,,7,,,,7,,,,3,4,,,,,,,,0,1,1,1,1,1,4,4,0,1,0,3,0,2,3,4,2,4,2,3,2,3,3,5,2,4,2,4,1,15,0,0,0,3,4,5,4,3,,,0
1495,1,98108,1,1,0,3,4,0,6,,1,,,,0,,,,1,,,,1,,,,0,,,,1,,,,2,4,,,,,,,,3,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,5,4,4,1,4,1,0,2,5,4,5,1,12,0,0,0,2,4,5,6,4,6,4,5
1499,4,98115,1,1,3,4,5,6,0,,1,,,,0,,,,1,,,,1,2,,,1,,,,1,,,,3,,,,,,,,,99,2,1,1,1,1,4,5,2,1,3,3,5,2,3,1,4,5,4,4,2,3,4,5,3,4,4,5,2,13,0,0,0,1,5,4,3,3,2,3,6
4228,1,98115,1,0,2,3,0,0,0,,0,,,,1,,,,1,,,,7,,,,7,,,,7,,,,3,,,,,,,,,2,1,1,1,1,1,4,4,1,1,2,2,4,4,4,1,1,5,3,3,1,2,5,5,3,4,3,1,1,6,0,0,1,1,3,5,5,4,,,2
1427,1,98108,1,2,3,4,0,0,0,,0,,,,1,2,,,1,,,,1,,,,0,,,,0,,,,2,,,,,,,,,99,2,1,1,1,2,3,5,5,1,2,1,5,5,1,1,3,4,4,4,2,5,2,5,2,2,4,5,1,12,0,0,0,6,3,5,2,2,2,3,5
1431,1,98121,1,0,2,3,0,0,0,,0,,,,2,,,,1,2,,,0,,,,0,,,,0,,,,0,,,,,,,,,0,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,4,4,1,4,1,1,1,5,1,1,2,4,1,14,0,0,0,3,0,5,4,4,4,3,7
1385,1,98125,1,1,0,0,4,0,0,,1,,,,0,,,,0,,,,1,,,,0,,,,0,,,,3,,,,,,,,4,4,1,0,0,0,0,3,3,5,0,2,2,5,5,5,4,3,5,5,4,3,2,5,4,5,5,5,5,3,9,0,0,1,3,5,3,6,5,,,2
1389,1,98102,1,1,2,3,4,5,0,,2,,,,1,,,,1,,,,1,,,,1,,,,0,,,,1,4,,,,,,,,2,2,2,2,2,2,2,4,1,1,1,1,2,1,1,1,4,4,1,2,1,4,3,4,1,4,2,4,1,13,0,0,0,1,4,5,,,,,6
1390,1,98109,1,1,2,3,0,0,6,,1,,,,1,2,,,1,,,,7,,,,7,,,,1,,,,3,4,,,,,,,,99,1,1,1,1,1,2,4,5,1,2,3,4,2,3,1,3,4,5,4,1,3,2,5,4,5,4,5,1,13,0,0,0,1,5,5,5,4,,,6
1391,1,98118,1,1,0,3,0,0,0,,1,,,,0,,,,1,,,,0,,,,0,,,,0,,,,1,,,,,,,,,99,0,0,0,1,0,5,5,5,1,4,3,5,5,5,5,3,5,5,5,1,5,5,5,5,5,5,5,3,9,0,0,1,3,5,3,,,,,2
1319,4,98178,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,1,,,,,,,,,3,1,1,1,1,1,4,5,1,1,0,3,4,4,3,1,4,4,4,4,3,3,5,5,4,4,4,3,2,10,0,0,1,3,4,4,3,3,2,2,3
1320,1,98105,1,2,3,4,6,0,0,,0,,,,1,,,,1,,,,4,,,,0,,,,1,,,,3,,,,,,,,,99,1,1,1,1,1,3,5,5,1,1,1,5,2,1,1,2,2,3,3,1,2,1,1,3,3,4,4,1,11,0,0,0,8,4,5,4,3,4,4,4
1312,1,98103,1,2,3,4,6,0,0,,0,,,,1,2,,,1,,,,1,,,,0,,,,1,,,,3,,,,,,,,,2,2,1,2,2,1,2,4,1,0,3,3,4,3,3,2,3,4,3,4,1,4,1,5,1,4,3,3,1,13,0,0,0,1,5,5,3,3,4,3,6
1313,1,98126,1,1,2,0,0,0,0,,1,,,,1,,,,7,,,,7,,,,7,,,,7,,,,3,,,,,,,,,99,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,15,0,0,0,8,4,3,4,4,4,4,0
1432,1,98108,2,7,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,8,,,,,,,,,98,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,,,,,0
1433,1,98106,2,3,4,5,6,0,0,,0,,,,0,,,,4,,,,1,,,,1,,,,1,,,,8,,,,,,,,,98,2,1,2,2,3,4,4,1,1,4,3,1,1,1,0,4,4,1,4,1,4,2,5,1,2,4,5,1,8,0,1,1,9,8,5,3,3,1,1,2
1333,1,98103,1,1,2,3,0,0,0,,1,2,,,1,2,,,1,,,,0,,,,0,,,,0,,,,1,4,,,,,,,,2,1,1,1,1,1,3,5,5,1,1,2,2,1,1,1,2,4,3,4,1,1,2,2,1,4,2,4,1,12,0,0,0,1,5,5,1,2,2,3,5
1334,1,98112,1,1,2,3,4,5,6,,1,,,,1,2,,,1,2,,,1,,,,1,,,,1,,,,3,4,,,,,,,,3,2,1,1,1,1,3,4,5,1,1,2,4,1,1,1,2,4,2,4,1,1,1,4,2,4,3,5,1,15,0,0,0,1,4,5,4,3,4,3,0
1326,1,98126,1,0,2,3,4,0,6,,7,,,,1,,,,1,,,,1,,,,7,,,,1,,,,3,,,,,,,,,99,1,1,1,1,1,3,4,5,1,2,3,4,1,1,1,2,5,4,4,2,3,5,5,2,5,3,4,1,12,0,0,0,1,5,5,6,5,6,4,5
1327,1,98103,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,7,,,,7,,,,3,4,,,,,,,,1,1,1,1,1,1,2,5,5,1,1,3,2,2,1,1,3,5,5,4,2,2,1,5,4,4,2,3,1,11,0,0,0,1,4,5,4,3,,,4
1392,4,98117,1,2,3,4,5,0,0,,0,,,,1,,,,1,,,,1,,,,1,,,,0,,,,3,,,,,,,,,2,2,2,2,2,2,2,5,5,1,3,2,5,1,1,1,4,5,5,3,1,4,5,5,4,5,4,5,2,12,0,0,0,1,3,4,3,3,3,3,5
4229,1,98126,2,1,0,3,0,0,0,,1,,,,7,,,,1,,,,7,,,,7,,,,7,,,,8,,,,,,,,,98,1,1,1,1,1,4,5,5,2,4,5,5,2,2,5,2,4,4,4,3,5,5,5,5,2,4,5,3,1,1,1,1,1,8,3,2,3,,,1
1396,1,98116,1,1,2,3,4,5,0,,1,,,,1,,,,1,,,,1,,,,1,,,,7,,,,3,4,,,,,,,,4,1,1,1,1,1,3,5,2,1,3,2,3,3,1,1,3,4,4,4,1,3,2,2,4,5,4,4,0,0,0,0,0,1,4,0,,,,,0
1343,3,98105,1,0,2,3,4,5,0,,7,,,,1,,,,1,,,,1,,,,1,,,,7,,,,5,6,,,,,,,,99,2,2,2,2,1,4,4,5,1,3,4,4,1,2,1,4,4,4,4,4,4,4,5,1,5,5,5,2,4,0,0,1,2,9,4,5,4,,,1
1347,1,98112,1,0,2,3,0,0,0,,7,,,,1,,,,1,,,,7,,,,7,,,,7,,,,3,,,,,,,,,99,1,1,1,1,1,3,5,5,1,1,2,2,2,4,4,2,5,3,3,1,1,1,1,4,4,3,5,1,11,0,0,0,1,4,5,4,4,,,4
1340,1,98177,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,7,,,,7,,,,1,4,,,,,,,,99,1,1,1,1,1,4,4,4,1,2,3,4,2,2,2,3,5,4,4,2,4,2,3,3,5,4,0,2,9,0,0,1,1,3,4,5,4,5,4,2
1341,1,98117,1,0,2,3,4,0,6,,7,,,,1,,,,1,,,,1,,,,7,,,,1,,,,1,,,,,,,,,2,2,2,2,2,2,3,4,5,1,1,2,3,1,2,1,1,3,4,4,1,4,1,4,1,4,1,4,1,15,0,0,0,1,5,5,2,3,2,2,0
1348,1,98107,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,3,4,,,,,,,,3,1,1,1,1,1,3,5,2,1,2,2,3,1,1,1,2,4,2,3,1,3,2,4,2,4,4,2,1,15,0,0,0,1,3,5,4,3,,,0
1349,5,0,1,0,2,3,0,0,0,,7,,,,1,,,,1,,,,7,,,,7,,,,7,,,,4,,,,,,,,,99,2,1,2,2,3,2,3,1,1,1,1,4,1,1,1,2,3,4,3,1,1,5,4,1,1,1,5,1,1,1,1,1,2,4,5,4,4,5,4,1
1350,3,98102,1,1,0,3,4,0,0,,1,,,,0,,,,1,,,,1,,,,0,,,,0,,,,3,,,,,,,,,99,3,0,0,0,0,2,4,5,2,3,5,5,5,3,2,2,5,4,3,5,4,5,5,2,5,0,4,3,2,0,0,1,8,4,3,6,4,,,1
